id,t,d+1,d,L,eps,U
8,27,7.0,6.0,0.0,-1.2862480903596787,33.24994641176306
8,28,7.0,7.0,1.0,-0.08534298541881932,33.08128795575656
8,29,7.0,7.0,1.0,-0.9175864715419606,31.16572899904573
8,30,8.0,7.0,0.0,-1.0351755458461358,1000.0
9,1,0.0,0.0,1.0,0.9550573248564307,63.37120597189928
9,2,1.0,0.0,0.0,-1.3545540113400498,60.33283317645516
9,3,2.0,1.0,0.0,-2.0198761164758827,59.249517705867476
9,4,2.0,2.0,1.0,-0.9621889420855688,58.20401329319423
9,5,2.0,2.0,1.0,0.27750718481569986,58.36039394950781
9,6,2.0,2.0,1.0,0.5554888774869722,57.5550601715914
9,7,2.0,2.0,1.0,1.1791883975388813,57.09544422105563
9,8,2.0,2.0,1.0,2.134114211504697,56.96705456443376
9,9,2.0,2.0,1.0,0.9593981502579223,54.709023032599305
9,10,2.0,2.0,1.0,1.4436649781486155,54.10997438990232
9,11,2.0,2.0,1.0,0.2616421357312251,51.844636076897245
9,12,3.0,2.0,0.0,-1.4967938693372682,49.49967847057833
9,13,3.0,3.0,1.0,-0.7251324869357,48.691230513054954
9,14,3.0,3.0,1.0,-0.26326948556302004,48.069778043839946
9,15,3.0,3.0,1.0,-0.250170503046653,46.99956155576863
9,16,4.0,3.0,0.0,-1.2124344363934905,45.1664165882276
9,17,4.0,4.0,1.0,0.5289678438940232,45.612068961533936
9,18,4.0,4.0,1.0,0.4246388555022311,44.42442450255446
9,19,5.0,4.0,0.0,-1.0085910954036075,41.91647017646454
9,20,5.0,5.0,1.0,1.23396928253342,43.06712398841028
9,21,6.0,5.0,0.0,-1.674650238646219,39.74983923528917
9,22,7.0,6.0,0.0,-1.249109550553925,38.66652376470149
9,23,7.0,7.0,1.0,1.7193861122446805,40.30259440635848
9,24,7.0,7.0,1.0,0.0003058034135319741,37.50019862693965
9,25,7.0,7.0,1.0,2.915196452313988,39.33177380525242
9,26,7.0,7.0,1.0,0.052921795062653376,35.3861836774134
9,27,7.0,7.0,1.0,0.8820031104631445,35.13194952222621
9,28,8.0,7.0,0.0,-1.6527407454409857,32.16663094117538
9,29,8.0,8.0,1.0,0.34754310544884326,32.430858576036535
9,30,9.0,8.0,0.0,-1.2119798603509822,1000.0
10,1,0.0,0.0,1.0,0.7777160118407166,63.19386465888356
10,2,0.0,0.0,1.0,0.3134113020501024,61.64624447850527
10,3,0.0,0.0,1.0,1.4566554228484119,61.70617312871589
10,4,1.0,0.0,0.0,-1.242847092760919,58.1662022352798
